ImageName,Image Id,Discription,,Breed,Gender,age ,size,type
n02085936_137,1,I have a female medium size adult Maltese dog I want to arrange a crossing for my pet it is very playful and have a good behaviour with other pets we live near  kandy.plain shine white on a cousion,,Maltese,femmale,adult,medium,crossing
n02085936_37,2,I want to arrange a crossing partner for my dog I have a medium size adult male Maltese dog  very good around other pets andvery playful we live near kandy.small white puppy on a chair,,Maltese,male,adult,medium,crossing
n02086240_30,3,I have a male small adult Shih Tzu dog I would like to find a matching crossing partner for my dog .friendly with strangers and polite with other dogs we live near anuradhapura .dogwith a birtday cap,,Shih Tzu,female,adult,small,crossing
n02086240_739,4,I want a crossing partner for my Shih Tzu dog it is small female adult dog very tame and calm dog good with strangers and also have a good behaviour  around other pets we live near polonnaruwa.dog with blue bow,,Shih Tzu,female,adult,small,crossing
n02088094_173,5,I have a large female adult Afghan hound dog has a tall slender elegent build is extremely athletic is gentel with strangers and with other pets I would like to arrange a playdate for my dog I live near nuwara-eliya   ,,Afghan hound,female,adult,large,playdate
n02088094_1126,6,I would like to arrange a play date for my Afgan hound  medium size male adult dog it is elegent build very good in athletic and gentle with people and also have good behaviour with other people.I live near nuwara-eliya.brwon & white dog,,Afghan hound,male,adult,medium,playdate
n02088364_852,7,"I have a small female beagle puppy it is very athletic,loves exercise,play and outdoor activities is very polite and good with everyone include other dogs and strangers. I want to arrange a playdate for my dog we live near matale.brown & black dog stand near a pink blanket.",,beagle,female,puppy,small,playdate
n02088364_2360,8,I want a to arrange a playdate for my medium size female beagle puppy who love to play outdoor and very found of athletic and also love doing exercises and it is very polite with other pets and with other people.we live near matale.,,beagle,female,puppy,medium,playdate
n02085936_37,9,I have a male small size  adult Maltese dog I want to arrange a crossing for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near galle.small white puppy sitting on a chair,,Maltese,male,adult,small,crossing
n02085936_66,10,I want to find a matching crossing partner for my dog I have a female small adult Maltese puppy it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matara.white dog resting in a bucket.,,Maltese,female,adult,small,crossing
n02085936_126,11,I would like to arrange a playdate for my male medium size Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near ampara.white puppy standing near a window,,Maltese,male,puppy,medium,playdate
n02085936_233,12,I have a female medium size  Maltese puppy I want to arrange a crossing for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near gampha.white puppy sitting ona ground,,Maltese,female,puppy,medium,crossing
n02085936_426,13,"My dog is a male small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside we live near colombo.",,Maltese,male,puppy,small,playdate
n02085936_461,14,"I have a female small adult Maltese puppy I want to arange a playdate partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside we live near matara",,Maltese,female,adult,small,playdate
n02085936_517,15,"I would like to arrange a playdate for my female small size Maltese puppy it is very playful,active and have a good behaviour with other pets and behave well with strangers love go for walks. we live in kalutara.",,Maltese,female,puppy,small,crossing
n02085936_548,16,"I want to find a matching crossing partner for my dog I have a male large adult Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near mannar.white puppy with ribbons",,Maltese,male,adult,large,crossing
n02085936_797,17,"My dog is a female medium size Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near matara.white puppy laying on the ground.",,Maltese,female,puppy,medium,playdate
n02085936_807,18,I have a male medium adult Maltese puppy I want to arange a playdate partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near matale.,,Maltese,female ,adult,medium,playdate
n02086240_34,19,"I have a female medium size adult Shih Tzu dog I would like to find a matching playdate partner for my dog .it is playful ,calm and friendly with strangers and polite with other dogs love toplay with kids we live near galle.a woman is holding the dog.",,Shih Tzu,female,adult,medium,playdate
n02086240_1621,20,"my dog is a male small shih tzu puppy I want to arrannge a playdate partner for my dog it is playful ,calm and friendly with strangers and polite with other dogs love to play with kids we live near matara.ash color dog on white stones",,Shih Tzu,male,puppy,small,playdate
n02086240_599,21,I want to arrange a crossing partner for my female medium size adult shih tzu dog it is very active playful and friendly dog and also behave well with strangers and mix with other dogs good around kids.we live near kurunagala.ash color dog on a green ground,,Shih Tzu,female,adult,medium,crossing
n02086240_646,22,"I would like to arrange a playdate for my  male small shih tzu puppy.it is playful ,calm and friendly with strangers and polite with other dogs love to play with kids.love to go for small walks. we live near ampara.white dog sitting on a chair.",,Shih Tzu,male,puppy,small,playdate
n02086240_756,23,"I have a male medium size adult Shih Tzu dog I would like to find a matching playdate partner for  my dog .it is playful ,calm and friendly with strangers and polite with other dogs love toplay with kids we live near kalutara.",,Shih Tzu,male,adult,medium,playdate
n02086240_762,24,"my dog is a female medium shih tzu puppy I want to arrannge a playdate partner for my dog it is playful ,calm and friendly with strangers and polite with other dogs love to play with kids we live near badulla.white puppy siting on a road.",,Shih Tzu,female,puppy,medium,playdate
n02086240_936,25,"I want to arrange a playdate for my male small size  shih tzu puppy. it is very active ,playful and friendly dog and also behave well with strangers and mix with other dogs love to play with kids kids.we live near hambanthota.",,Shih Tzu,male,puppy,small,crossing
n02086240_968,26,"I have a female medium size adult Shih Tzu dog I would like to find a matching playdate partner for  my dog .it is playful ,calm and friendly with strangers and polite with other dogs love toplay with kids we live near colombo.black & white dog with a pink collor",,Shih Tzu,female,adult,medium,playdate
n02086240_1011,27,"my dog is a male small shih tzu puppy I want to arrannge a playdate partner for my dog it is playful ,calm and friendly with strangers and polite with other dogs love to play with kids we live near negambo.white dog sitting infront of two trees",,Shih Tzu,male,puppy,small,playdate
n02086240_1016,28,I want to arrange a crossing partner for my male small size adult shih tzu dog it is very active playful and friendly dog and also behave well with strangers and mix with other dogs good around kids.we live near kegalle.white dog sitting with a small blue ball,,Shih Tzu,male,adult,small,playdate
n02086910_103,29,I have a small size male  papillon puppy is very lively and playful easy to carry polite withh strangers and have a good behaviuor around other pets I would like to arrange a playdate for my dog.welive near gampha.black & white dog standing on a table.,,papillon,male,puppy,small,playdate
n02086910_695,30,I want to arrange a playdate for my papillon female medium size puppy it is very playful and lively and also have good behaviour around kids and strangers and polite with other dogs we live near kegalle.balck & white chained dog,,papillon,female,puppy,medium,playdate
n02086910_862,31,My dog is adult medium size male papillon  it is very playful and lively and also have good behaviour around kids and strangers and polite with other dogs.I want to arrange a crossing partner for my dog.i live in kandy,,papillon,male,adult,medium,crossing
n02086910_933,32,I would like to arrrange a playdate for my small female papillon puppy it is very playful and lively and also have good behaviour around kids and strangers and adapt well  with other dogs.welive near nuwara-eliya.black & white puppy stand on green grass feild.,,papillon,female,puppy,small,playdate
